,Date,Tidal_Variation,Waves,Current_Speed,Direction_of_Flow,Dredging_Requirement,Depth,Siltation_Amount,Ships_Frequency,Heavy_Rainfall,Channel
34,2017-02-04,1.71,2.73,0.96,1,2,18.68,1.32,5,0,2
35,2017-02-05,3.84,0.04,1.16,1,2,14.84,1.35,22,1,2
36,2017-02-06,0.76,1.83,1.54,0,2,8.33,2.57,9,1,2
37,2017-02-07,1.41,0.66,0.65,0,1,9.91,2.92,14,0,2
38,2017-02-08,4.19,2.83,2.15,0,2,15.23,1.93,13,0,1
39,2017-02-09,1.07,2.35,1.25,1,2,16.96,1.29,8,0,2
40,2017-02-10,3.77,2.58,2.36,0,2,9.57,2.54,5,0,2
41,2017-02-11,4.93,0.15,0.78,1,2,9.51,2.67,21,1,2
42,2017-02-12,2.92,0.59,2.14,1,0,9.53,2.61,28,1,1
43,2017-02-13,2.65,0.44,2.19,0,2,13.31,1.47,17,1,2
44,2017-02-14,4.28,0.4,2.35,1,0,9.77,2.47,24,0,1
45,2017-02-15,3.22,2.18,1.61,0,2,14.5,1.57,20,1,2
46,2017-02-16,4.41,0.1,0.11,0,1,14.53,1.89,21,1,2
47,2017-02-17,1.51,1.8,0.34,0,1,15.54,1.33,22,1,2
48,2017-02-18,1.58,0.67,0.59,0,1,13.85,1.26,23,0,2
49,2017-02-19,0.5,1.44,1.72,1,0,8.9,2.82,11,1,1
50,2017-02-20,4.78,0.46,1.98,1,0,12.5,1.16,14,0,1
51,2017-02-21,2.65,1.17,0.17,0,1,12.71,1.97,28,0,2
52,2017-02-22,0.56,2.92,1.54,1,0,14.33,1.68,24,1,1
53,2017-02-23,3.36,1.89,1.19,0,2,19.29,1.01,15,0,2
54,2017-02-24,0.34,0.84,0.44,1,2,9.53,2.54,20,1,1
55,2017-02-25,1.55,2.63,1.46,1,2,8.84,2.07,18,0,2
56,2017-02-26,3.73,2.84,1.42,1,2,15.97,1.82,19,0,2
57,2017-02-27,2.49,2.92,0.64,0,1,15.83,1.77,29,1,1
58,2017-02-28,4.15,0.58,1.34,1,2,10.94,2.33,16,1,2
59,2017-03-01,4.31,0.98,0.49,1,2,8.24,2.94,20,0,2
60,2017-03-02,0.8,2.61,2.03,0,2,19.83,1.35,23,0,1
61,2017-03-03,2.44,2.31,0.78,0,1,8.97,2.96,26,0,2
62,2017-03-04,1.27,0.36,2.12,0,2,8.25,2.6,23,0,1
63,2017-03-05,4.35,0.43,0.25,0,1,8.36,2.7,17,1,1
64,2017-03-06,1.44,2.67,0.38,1,2,11.97,2.23,7,1,2
65,2017-03-07,3.67,1.12,2.37,1,0,9.26,2.45,17,0,2
66,2017-03-08,3.58,0.05,0.19,0,1,11.9,2.69,27,1,2
67,2017-03-09,3.69,2.64,2.08,0,2,13.97,1.64,19,1,1
68,2017-03-10,1.23,1.46,1.47,0,2,13.19,1.82,20,0,1
69,2017-03-11,0.91,1.1,0.13,1,2,18.04,1.62,23,1,1
70,2017-03-12,0.02,1.95,1.99,0,2,18.87,1.11,26,1,1
71,2017-03-13,3.37,1.73,0.59,0,1,17.15,1.77,23,1,2
72,2017-03-14,3.82,0.98,2.45,1,0,14.02,1.43,22,0,2
73,2017-03-15,4.13,1.04,1.9,1,0,18.9,1.46,15,1,1
74,2017-03-16,0.06,0.55,1.9,0,2,19.01,1.24,23,1,2
75,2017-03-17,2.67,1.69,0.85,1,2,19.61,1.21,9,0,1
76,2017-03-18,4.98,0.18,1.28,0,2,19.61,1.1,27,1,2
77,2017-03-19,4.63,1.13,1.06,0,2,8.3,2.54,12,0,1
78,2017-03-20,2.44,0.64,2.12,0,2,11.5,2.71,15,0,2
79,2017-03-21,4.35,1.06,2.1,1,0,11.63,2.24,14,0,2
80,2017-03-22,3.79,1.0,0.81,0,1,13.15,1.34,17,1,2
81,2017-03-23,0.87,2.79,0.78,0,1,10.17,2.0,9,0,2
82,2017-03-24,1.91,2.75,1.04,0,2,11.65,2.37,9,1,1
83,2017-03-25,1.89,2.84,2.04,0,2,16.12,1.43,5,0,2
84,2017-03-26,0.72,1.54,0.85,1,2,9.48,2.13,26,0,2
85,2017-03-27,2.76,2.88,0.1,1,2,8.45,2.98,21,1,1
86,2017-03-28,3.46,0.87,1.31,0,2,13.34,1.79,13,0,1
87,2017-03-29,3.95,0.32,0.27,0,1,11.82,2.11,17,0,2
88,2017-03-30,3.83,2.34,0.8,0,1,10.93,2.95,10,1,2
89,2017-03-31,3.29,1.87,1.22,1,2,11.42,2.04,15,1,2
90,2017-04-01,2.5,1.0,2.31,1,0,8.89,2.22,29,1,1
91,2017-04-02,2.11,1.6,0.41,0,1,12.65,1.32,13,0,2
92,2017-04-03,3.67,1.74,1.51,0,2,10.62,2.75,27,0,1
93,2017-04-04,2.14,2.3,0.16,0,1,8.98,2.51,12,1,1
94,2017-04-05,2.86,1.69,1.86,0,2,13.66,1.27,9,0,2
95,2017-04-06,1.39,1.33,2.08,0,2,10.19,2.43,14,1,2
96,2017-04-07,4.36,1.78,0.55,1,2,10.19,2.38,10,1,1
97,2017-04-08,2.71,0.48,1.62,1,0,8.51,2.43,5,0,1
98,2017-04-09,1.99,0.87,1.25,1,2,9.55,2.09,19,0,1
99,2017-04-10,2.17,0.44,0.43,1,2,10.69,2.03,26,1,2
100,2017-04-11,0.75,2.85,0.38,0,1,19.95,1.24,7,1,1
101,2017-04-12,0.42,0.01,2.34,0,2,11.09,2.28,17,1,1
102,2017-04-13,3.96,2.03,1.04,0,2,14.38,1.57,27,1,1
103,2017-04-14,0.53,2.43,2.05,0,2,9.41,2.24,25,0,2
104,2017-04-15,1.39,1.7,0.46,1,2,18.57,1.93,20,0,2
105,2017-04-16,1.12,0.03,1.27,1,2,8.72,2.37,28,0,2
106,2017-04-17,3.63,0.87,0.72,0,1,8.58,2.04,22,1,2
107,2017-04-18,3.51,0.16,1.01,0,2,8.63,2.92,16,0,2
108,2017-04-19,2.08,2.53,1.64,0,2,13.75,1.87,5,0,2
109,2017-04-20,4.94,1.46,1.37,1,2,14.65,1.57,11,1,1
110,2017-04-21,2.58,1.35,1.79,1,0,15.98,1.97,20,1,2
111,2017-04-22,2.46,2.51,2.14,1,0,11.86,2.9,13,0,2
112,2017-04-23,2.54,0.14,0.5,1,2,8.89,2.6,10,1,2
113,2017-04-24,3.86,1.51,0.93,0,1,12.39,1.58,17,1,2
114,2017-04-25,3.44,0.97,1.61,1,0,20.0,1.43,11,0,1
115,2017-04-26,3.09,2.63,1.71,0,2,12.47,1.01,5,0,2
116,2017-04-27,0.09,0.86,0.81,1,2,9.47,2.61,28,0,1
117,2017-04-28,4.22,1.15,1.29,0,2,8.65,2.91,19,1,1
118,2017-04-29,3.08,2.94,0.54,0,1,16.75,1.91,5,0,1
119,2017-04-30,1.76,0.79,0.8,1,2,13.32,1.44,27,0,1
120,2017-05-01,4.28,2.04,0.58,1,2,15.47,1.3,10,1,2
121,2017-05-02,4.05,0.81,2.44,0,2,9.26,2.46,20,1,1
122,2017-05-03,1.61,2.47,1.62,0,2,17.39,1.24,12,0,2
123,2017-05-04,3.13,1.74,1.17,0,2,18.36,1.75,5,0,1
124,2017-05-05,0.31,1.38,1.36,1,2,18.68,1.19,10,1,2
125,2017-05-06,0.52,0.83,2.48,0,2,15.27,1.75,26,0,1
126,2017-05-07,0.02,2.04,0.96,1,2,11.52,2.62,29,0,2
127,2017-05-08,3.2,2.59,2.09,0,2,11.53,2.68,9,0,1
128,2017-05-09,4.41,0.89,1.33,1,2,9.85,2.09,29,1,1
129,2017-05-10,2.52,1.69,1.79,1,0,11.63,2.37,6,0,1
130,2017-05-11,2.84,0.61,0.13,0,1,18.64,1.05,22,0,2
131,2017-05-12,3.29,1.77,2.26,1,0,16.01,1.92,11,1,1
132,2017-05-13,3.92,2.28,0.26,1,2,19.86,1.21,26,0,2
133,2017-05-14,0.95,2.38,2.4,1,0,9.71,2.53,13,0,2
134,2017-05-15,1.86,2.01,2.2,1,0,10.48,2.51,8,0,1
135,2017-05-16,4.79,2.3,0.32,1,2,8.28,2.24,24,0,1
136,2017-05-17,2.1,2.98,1.73,0,2,18.01,1.11,26,1,1
137,2017-05-18,2.04,1.32,1.41,1,2,15.01,1.82,13,0,2
138,2017-05-19,3.24,1.46,1.82,1,0,11.21,2.06,10,0,1
139,2017-05-20,4.29,2.24,0.46,0,1,12.77,1.66,17,1,1
140,2017-05-21,4.32,0.94,1.06,0,2,12.42,1.67,9,0,2
141,2017-05-22,2.98,1.07,0.8,1,2,17.35,1.3,24,1,2
142,2017-05-23,3.57,0.67,1.87,0,2,19.4,1.03,7,0,1
143,2017-05-24,0.65,0.26,1.33,0,2,10.1,2.41,11,1,1
144,2017-05-25,2.88,2.7,0.12,1,2,8.22,2.8,24,0,2
145,2017-05-26,3.21,2.84,0.72,0,1,19.35,1.88,7,0,2
146,2017-05-27,1.89,2.25,2.16,1,0,13.22,1.87,28,0,2
147,2017-05-28,0.06,0.45,0.86,1,2,19.83,1.18,8,1,2
148,2017-05-29,0.08,0.54,2.47,1,0,15.59,1.89,23,0,1
149,2017-05-30,1.19,0.42,0.58,1,2,14.67,1.24,23,1,1
150,2017-05-31,0.59,1.56,2.42,0,2,12.81,1.02,14,1,2
151,2017-06-01,1.05,2.69,0.42,0,1,17.24,1.12,15,0,2
152,2017-06-02,3.7,2.82,0.4,1,2,17.77,1.35,6,0,1
153,2017-06-03,0.18,0.11,1.16,0,2,15.39,1.76,22,1,2
154,2017-06-04,0.89,0.67,2.06,1,0,9.97,2.38,20,1,2
155,2017-06-05,2.37,0.5,1.73,1,0,8.44,2.41,18,0,2
156,2017-06-06,3.44,2.74,1.99,1,0,8.67,2.49,12,0,1
157,2017-06-07,1.1,0.39,1.24,0,2,9.57,2.26,6,1,2
158,2017-06-08,4.35,2.49,1.08,1,2,11.09,2.53,10,0,1
159,2017-06-09,4.38,1.16,1.45,0,2,15.31,1.82,7,0,2
160,2017-06-10,4.02,0.87,1.0,1,2,17.23,1.27,19,1,2
161,2017-06-11,0.02,2.34,1.86,1,0,10.3,2.72,11,0,2
162,2017-06-12,3.02,2.13,0.35,0,1,15.43,1.85,14,1,1
163,2017-06-13,4.55,1.8,2.15,0,2,8.33,2.21,18,1,2
164,2017-06-14,3.76,2.21,0.4,1,2,9.78,2.25,22,0,1
165,2017-06-15,3.28,0.96,1.56,0,2,11.75,2.32,25,1,1
166,2017-06-16,0.53,1.33,0.43,0,1,13.9,1.58,26,0,2
167,2017-06-17,1.83,1.71,1.12,0,2,8.13,2.31,23,0,1
168,2017-06-18,1.31,0.91,1.16,0,2,14.96,1.46,27,1,2
169,2017-06-19,2.58,0.87,0.25,1,2,19.9,1.24,11,1,2
170,2017-06-20,2.27,2.75,0.78,1,2,13.84,1.69,17,0,2
171,2017-06-21,3.75,1.36,2.29,0,2,18.41,1.86,11,1,2
172,2017-06-22,4.63,2.79,0.92,0,1,16.36,1.09,7,1,1
173,2017-06-23,2.98,2.94,1.61,0,2,9.13,2.07,16,1,2
174,2017-06-24,1.79,0.66,1.27,0,2,11.91,2.18,17,1,2
175,2017-06-25,4.55,0.08,1.99,1,0,14.68,1.32,28,1,1
176,2017-06-26,3.47,2.44,1.39,1,2,13.8,1.89,13,1,2
177,2017-06-27,4.09,0.93,0.67,1,2,8.43,2.11,11,0,1
178,2017-06-28,4.4,0.84,1.06,0,2,8.89,2.06,17,0,2
179,2017-06-29,4.29,2.75,1.57,0,2,14.21,1.73,8,0,2
180,2017-06-30,4.65,2.62,1.78,1,0,15.38,1.5,16,1,2
181,2017-07-01,2.96,0.87,1.84,0,2,11.38,2.66,20,0,2
182,2017-07-02,1.52,2.24,1.04,0,2,15.78,1.98,10,0,2
183,2017-07-03,0.91,1.59,1.52,0,2,17.73,1.05,16,1,2
184,2017-07-04,0.67,0.69,0.97,1,2,13.58,1.68,10,1,2
185,2017-07-05,2.33,0.2,0.37,0,1,15.91,1.55,18,1,1
186,2017-07-06,1.71,1.42,0.28,1,2,19.27,1.55,27,0,2
187,2017-07-07,3.14,0.62,0.33,1,2,11.17,2.4,26,1,1
188,2017-07-08,1.41,1.22,1.48,0,2,16.42,1.58,28,0,1
189,2017-07-09,3.07,1.79,2.07,0,2,8.45,2.01,13,1,1
190,2017-07-10,2.34,1.71,2.46,1,0,12.06,1.42,22,0,2
191,2017-07-11,4.49,2.91,1.91,1,0,19.39,1.24,18,0,1
192,2017-07-12,0.3,2.72,1.09,1,2,10.92,2.72,22,0,2
193,2017-07-13,2.97,2.91,1.72,0,2,12.02,1.8,21,1,2
194,2017-07-14,1.44,0.96,1.07,0,2,8.79,2.95,24,1,2
195,2017-07-15,4.61,0.9,0.58,1,2,11.7,2.24,22,1,2
196,2017-07-16,1.28,2.91,0.69,0,1,19.43,1.78,29,0,1
197,2017-07-17,4.29,2.59,1.66,1,0,8.37,2.22,19,0,2
198,2017-07-18,2.11,1.37,0.97,0,1,10.32,2.42,6,1,2
199,2017-07-19,1.56,0.44,2.4,1,0,12.41,1.32,29,0,2
200,2017-07-20,2.69,1.08,1.3,0,2,14.35,1.41,11,1,1
201,2017-07-21,1.48,2.5,0.49,1,2,18.37,1.62,22,0,2
202,2017-07-22,3.1,1.85,2.49,1,0,16.55,1.21,29,0,2
203,2017-07-23,0.34,0.14,1.18,0,2,17.27,1.94,19,0,2
204,2017-07-24,2.12,0.76,1.14,0,2,9.97,2.88,12,1,1
205,2017-07-25,1.39,1.81,0.67,0,1,12.5,1.68,15,0,1
206,2017-07-26,2.39,0.94,1.03,0,2,16.05,1.46,27,1,1
207,2017-07-27,2.77,1.09,0.51,0,1,17.62,1.01,18,0,1
208,2017-07-28,4.36,2.84,1.92,0,2,12.24,1.86,5,0,1
209,2017-07-29,1.34,0.01,0.93,0,1,19.62,1.66,20,1,1
210,2017-07-30,3.37,0.16,0.98,0,1,12.72,1.75,7,0,1
211,2017-07-31,2.14,2.09,1.33,1,2,19.51,1.49,14,0,1
212,2017-08-01,1.3,0.94,1.22,0,2,12.71,1.58,12,0,2
213,2017-08-02,0.54,1.59,1.43,1,2,9.88,2.57,26,0,2
214,2017-08-03,0.17,0.38,0.88,0,1,18.81,1.2,17,1,1
215,2017-08-04,4.76,1.71,0.7,1,2,11.38,2.95,19,1,1
216,2017-08-05,4.38,2.07,1.25,1,2,9.81,2.63,22,1,2
217,2017-08-06,0.23,1.95,1.04,1,2,9.6,2.83,6,1,1
218,2017-08-07,2.58,1.58,0.38,1,2,17.98,1.8,12,0,2
219,2017-08-08,1.33,0.12,1.11,0,2,8.14,2.45,26,1,1
220,2017-08-09,4.06,2.57,0.16,0,1,18.78,1.98,6,0,2
221,2017-08-10,0.73,0.6,0.52,0,1,8.4,2.31,15,1,1
222,2017-08-11,2.59,1.53,2.31,1,0,9.62,2.06,23,0,2
223,2017-08-12,2.32,1.59,1.18,0,2,10.2,2.72,12,0,2
224,2017-08-13,2.95,1.94,0.15,1,2,15.37,1.62,21,0,2
225,2017-08-14,4.54,1.67,0.73,0,1,19.32,1.55,21,0,2
226,2017-08-15,4.82,2.51,1.52,1,0,8.58,2.75,25,1,1
227,2017-08-16,4.03,2.51,0.4,0,1,11.95,2.98,12,1,1
228,2017-08-17,4.94,0.53,1.55,1,0,16.81,1.04,8,0,2
229,2017-08-18,2.23,1.53,1.34,0,2,17.09,1.86,22,1,1
230,2017-08-19,1.74,1.62,1.16,1,2,12.92,1.04,29,1,2
231,2017-08-20,1.5,1.19,0.7,0,1,9.94,2.68,13,0,2
232,2017-08-21,0.74,2.21,0.84,1,2,18.05,1.33,13,1,2
233,2017-08-22,2.08,1.18,1.0,1,2,10.58,2.28,11,0,1
234,2017-08-23,3.21,0.19,0.41,1,2,9.69,2.21,23,1,2
235,2017-08-24,2.57,2.36,1.62,1,0,14.88,1.09,13,1,2
236,2017-08-25,1.79,1.24,0.42,0,1,10.67,2.38,27,0,1
237,2017-08-26,2.99,1.13,0.49,1,2,15.98,1.24,8,0,2
238,2017-08-27,0.15,1.5,1.14,0,2,8.25,2.17,5,0,1
239,2017-08-28,2.02,0.5,0.16,1,2,9.24,2.03,17,1,2
240,2017-08-29,0.52,2.34,1.29,0,2,9.73,2.24,14,0,1
241,2017-08-30,1.42,2.5,1.27,0,2,10.34,2.21,11,1,1
242,2017-08-31,4.7,2.27,1.14,0,2,9.39,2.72,29,0,1
243,2017-09-01,3.63,1.08,0.41,0,1,9.58,2.31,18,1,1
244,2017-09-02,4.69,2.67,1.79,1,0,10.43,2.52,20,1,2
245,2017-09-03,0.82,0.9,1.97,0,2,15.92,1.95,26,1,1
246,2017-09-04,3.72,1.08,1.67,0,2,16.27,1.49,29,0,1
247,2017-09-05,2.82,2.87,0.19,1,2,18.33,1.26,15,1,1
248,2017-09-06,2.93,2.23,1.08,0,2,12.1,1.02,17,0,1
249,2017-09-07,4.09,1.76,2.36,1,0,9.14,2.5,24,0,1
250,2017-09-08,4.6,2.84,1.43,1,2,9.44,2.44,28,1,1
251,2017-09-09,0.23,0.73,1.61,0,2,11.06,2.12,23,1,1
252,2017-09-10,2.47,2.51,1.17,0,2,19.08,1.29,20,0,1
253,2017-09-11,1.99,1.47,0.72,0,1,15.73,1.92,25,0,1
254,2017-09-12,3.89,0.08,1.51,0,2,12.16,1.96,23,1,2
255,2017-09-13,1.89,1.7,1.92,1,0,17.96,1.34,15,1,2
256,2017-09-14,0.75,1.63,1.59,0,2,11.39,2.4,8,0,2
257,2017-09-15,1.51,0.46,2.44,0,2,13.26,1.27,16,1,2
258,2017-09-16,4.81,1.5,1.12,0,2,10.49,2.33,21,1,1
259,2017-09-17,2.33,1.8,1.87,0,2,10.79,2.56,21,1,1
260,2017-09-18,3.46,1.37,2.17,1,0,8.04,2.1,20,1,2
261,2017-09-19,3.25,2.84,1.08,0,2,9.17,2.76,13,1,1
262,2017-09-20,2.69,1.87,2.46,0,2,11.33,2.96,12,1,1
263,2017-09-21,1.84,2.99,1.79,1,0,13.42,1.93,20,0,1
264,2017-09-22,3.6,1.3,0.91,0,1,8.77,2.81,5,1,1
265,2017-09-23,0.08,0.48,0.3,1,2,10.81,2.98,15,1,2
266,2017-09-24,3.47,0.35,1.85,1,0,12.6,1.04,10,1,1
267,2017-09-25,3.96,0.35,1.44,1,2,8.1,2.84,24,1,2
268,2017-09-26,4.38,1.85,2.49,0,2,10.52,2.02,9,1,1
269,2017-09-27,2.77,2.39,2.34,0,2,16.46,1.97,10,1,2
270,2017-09-28,0.35,0.93,1.53,1,0,14.05,1.87,15,1,1
271,2017-09-29,2.73,2.37,2.05,1,0,11.12,2.86,17,0,2
272,2017-09-30,3.61,2.2,2.21,1,0,10.12,2.12,12,1,1
273,2017-10-01,1.37,0.93,0.72,0,1,9.93,2.34,11,1,2
274,2017-10-02,3.2,1.14,0.81,1,2,12.7,1.94,6,0,1
275,2017-10-03,2.48,0.25,1.07,1,2,16.58,1.29,7,1,1
276,2017-10-04,2.03,1.59,1.1,1,2,14.23,1.74,25,0,1
277,2017-10-05,1.62,2.91,1.67,1,0,17.43,1.02,28,1,2
278,2017-10-06,1.76,0.36,1.28,1,2,11.81,2.04,7,0,2
279,2017-10-07,1.94,0.32,2.22,0,2,8.76,2.05,14,1,1
280,2017-10-08,1.27,1.47,0.51,1,2,11.27,2.36,23,0,2
281,2017-10-09,2.38,2.36,0.83,0,1,12.33,1.17,5,1,2
282,2017-10-10,3.56,0.9,1.89,0,2,11.85,2.11,15,1,2
283,2017-10-11,2.1,0.56,2.43,0,2,13.16,1.38,8,0,2
284,2017-10-12,4.23,2.67,1.09,0,2,17.7,1.38,21,0,2
285,2017-10-13,4.71,0.05,1.81,0,2,15.15,1.9,7,1,1
286,2017-10-14,2.43,1.98,1.37,1,2,8.0,2.57,17,0,1
287,2017-10-15,0.91,1.32,1.61,0,2,8.55,2.17,29,0,2
288,2017-10-16,3.86,0.96,1.63,0,2,15.86,1.4,17,0,2
289,2017-10-17,1.7,1.2,0.11,1,2,15.9,1.33,10,0,1
290,2017-10-18,4.0,2.21,1.2,0,2,16.88,1.93,9,1,1
291,2017-10-19,2.2,0.52,2.07,0,2,12.05,1.96,11,1,1
292,2017-10-20,2.58,1.76,1.5,0,2,8.22,2.9,29,1,1
293,2017-10-21,4.22,1.74,1.59,0,2,19.38,1.89,5,1,2
294,2017-10-22,3.48,2.94,1.75,1,0,15.5,1.24,13,1,1
295,2017-10-23,1.2,2.29,1.44,0,2,8.88,2.87,27,1,1
296,2017-10-24,3.13,2.64,0.64,0,1,10.03,2.18,27,1,2
297,2017-10-25,4.92,2.16,2.38,1,0,8.29,2.46,25,1,1
298,2017-10-26,3.52,1.65,0.29,0,1,17.73,1.39,9,0,1
299,2017-10-27,3.44,0.9,0.37,1,2,14.44,1.55,14,0,1
300,2017-10-28,0.13,2.97,1.47,0,2,10.84,2.85,7,0,2
301,2017-10-29,3.36,0.81,0.35,1,2,18.49,1.45,13,1,2
302,2017-10-30,1.16,2.98,2.38,0,2,11.83,2.29,18,0,1
303,2017-10-31,4.07,2.55,2.21,1,0,14.91,1.29,11,0,2
304,2017-11-01,1.37,2.51,1.14,1,2,17.04,1.45,15,0,1
305,2017-11-02,0.63,1.26,2.25,1,0,10.48,2.48,16,1,2
306,2017-11-03,2.29,0.23,2.18,1,0,8.18,2.86,25,0,2
307,2017-11-04,2.96,2.09,1.27,1,2,18.7,1.98,5,0,2
308,2017-11-05,3.25,2.51,2.05,1,0,9.89,2.79,24,1,1
309,2017-11-06,4.89,2.78,1.35,0,2,11.39,2.99,22,0,1
310,2017-11-07,2.92,0.17,0.97,0,1,11.83,2.34,11,1,2
311,2017-11-08,2.09,2.85,0.37,1,2,15.15,1.52,18,1,1
312,2017-11-09,3.88,0.18,0.95,0,1,9.36,2.64,11,1,2
313,2017-11-10,1.46,1.21,1.17,1,2,9.01,2.45,26,0,2
314,2017-11-11,0.35,1.89,0.7,0,1,11.85,2.91,26,0,2
315,2017-11-12,0.34,2.72,1.85,1,0,9.93,2.6,14,1,2
316,2017-11-13,4.17,1.19,1.25,0,2,8.77,2.1,5,1,2
317,2017-11-14,1.45,0.52,1.25,0,2,16.21,1.6,17,0,1
318,2017-11-15,1.58,0.66,1.16,1,2,18.67,1.55,25,1,1
319,2017-11-16,4.88,0.72,0.68,1,2,18.76,1.23,14,0,1
320,2017-11-17,0.26,2.18,0.56,1,2,16.79,1.69,24,1,1
321,2017-11-18,2.05,2.52,1.4,0,2,18.35,1.58,21,0,2
322,2017-11-19,2.62,2.2,0.9,1,2,9.33,2.21,19,0,1
323,2017-11-20,2.28,2.32,1.25,0,2,9.89,2.04,27,1,2
324,2017-11-21,0.59,2.52,1.56,1,0,8.65,2.81,19,0,2
325,2017-11-22,1.79,2.47,1.01,0,2,11.53,2.45,11,0,2
326,2017-11-23,0.5,0.55,0.45,0,1,10.6,2.16,20,0,2
327,2017-11-24,2.39,1.31,1.18,1,2,18.9,1.02,9,1,1
328,2017-11-25,3.7,1.13,2.29,1,0,19.52,1.01,6,1,2
329,2017-11-26,1.31,2.45,1.18,1,2,12.78,1.21,14,0,1
330,2017-11-27,0.37,2.31,1.23,0,2,13.51,1.31,21,1,2
331,2017-11-28,3.14,0.46,0.12,1,2,13.92,1.88,22,0,2
332,2017-11-29,3.56,1.72,1.16,0,2,10.77,2.63,12,0,2
333,2017-11-30,4.65,2.93,1.87,0,2,12.11,1.0,27,1,2
334,2017-12-01,0.07,1.77,1.93,1,0,11.67,2.52,5,1,1
335,2017-12-02,2.96,1.63,2.1,0,2,11.73,2.18,19,1,1
336,2017-12-03,1.64,1.18,2.02,1,0,8.46,2.05,9,1,1
337,2017-12-04,2.27,2.48,1.45,0,2,10.96,2.08,24,1,2
338,2017-12-05,3.71,0.56,0.99,1,2,10.86,2.53,25,0,2
339,2017-12-06,0.51,0.74,1.84,0,2,10.84,2.84,25,0,2
340,2017-12-07,3.1,2.21,0.9,1,2,17.99,1.49,25,0,2
341,2017-12-08,3.63,2.15,1.91,0,2,8.76,2.85,24,0,1
342,2017-12-09,3.39,2.31,2.21,1,0,8.67,2.24,25,1,1
343,2017-12-10,4.37,1.32,2.12,1,0,14.96,1.49,8,0,1
344,2017-12-11,4.36,0.34,1.24,0,2,11.64,2.78,7,1,2
345,2017-12-12,1.27,2.75,0.39,1,2,16.21,1.96,24,0,1
346,2017-12-13,1.63,2.54,2.09,1,0,11.09,2.57,9,1,2
347,2017-12-14,1.34,0.04,0.49,0,1,8.22,2.7,28,1,1
348,2017-12-15,4.39,1.99,0.35,1,2,16.66,1.92,27,0,1
349,2017-12-16,2.61,0.02,0.28,1,2,13.84,1.96,8,0,1
350,2017-12-17,4.03,1.65,1.46,1,2,10.07,2.75,15,0,1
351,2017-12-18,1.77,0.59,1.6,1,0,18.89,1.52,26,1,2
352,2017-12-19,0.31,1.55,0.76,0,1,9.74,2.2,18,1,1
353,2017-12-20,0.47,1.47,1.2,1,2,15.82,1.4,6,0,2
